circuitId,circuitRef,name_x,location,country,lat,lng,alt,url,name_y,Last length used,Turns,image_url,local_image_path
20,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,578,http://en.wikipedia.org/wiki/N%C3%BCrburgring,NÃ¼rburgring,5.148Â km (3.199Â mi),15,https://upload.wikimedia.org/wikipedia/commons/7/76/N%C3%BCrburgring_-_Grand-Prix-Strecke.svg,
21,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,37,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari,Autodromo Internazionale Enzo e Dino Ferrari,4.909Â km (3.050Â mi),17,https://upload.wikimedia.org/wikipedia/commons/2/22/Imola_2009.svg,
22,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,45,http://en.wikipedia.org/wiki/Suzuka_Circuit,Suzuka International Racing Course,5.807Â km (3.608Â mi),18,https://upload.wikimedia.org/wikipedia/commons/e/ec/Suzuka_circuit_map--2005.svg,
80,vegas,Las Vegas Strip Street Circuit,Las Vegas,United States,36.1147,-115.173,642,https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit,Las Vegas Strip Circuit,6.201Â km (3.853Â mi),17,https://upload.wikimedia.org/wikipedia/commons/f/ff/Las_Vegas_Strip_Circuit_2023.png,
24,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,3,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,Yas Marina Circuit,5.281Â km (3.281Â mi),15,https://upload.wikimedia.org/wikipedia/commons/b/b0/Yas_Marina_Circuit.png,
25,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593,8,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez,AutÃ³dromo Oscar y Juan GÃ¡lvez,4.259Â km (2.646Â mi),18,https://upload.wikimedia.org/wikipedia/commons/c/c6/Aut%C3%B3dromo_Oscar_y_Juan_G%C3%A1lvez_Circuito_N%C2%B0_6_por_Senna.svg,
26,jerez,Circuito de Jerez,Jerez de la Frontera,Spain,36.7083,-6.03417,37,http://en.wikipedia.org/wiki/Circuito_Permanente_de_Jerez,Circuito Permanente de Jerez,4.428Â km (2.751Â mi),13,https://upload.wikimedia.org/wikipedia/commons/b/bc/Jerez_Grand_prix_Circuit_1994-2003.svg,
27,estoril,Autódromo do Estoril,Estoril,Portugal,38.7506,-9.39417,130,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril,AutÃ³dromo do Estoril,4.360Â km (2.709Â mi),13,https://upload.wikimedia.org/wikipedia/commons/3/34/Aut%C3%B3dromo_de_Estoril_1994-1999.png,
28,okayama,Okayama International Circuit,Okayama,Japan,34.915,134.221,266,http://en.wikipedia.org/wiki/TI_Circuit,TI Circuit Aida,3.703Â km (2.301Â mi),11,https://upload.wikimedia.org/wikipedia/commons/b/b4/Circuit_TI_%28Aida%29.png,
29,adelaide,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617,58,http://en.wikipedia.org/wiki/Adelaide_Street_Circuit,Adelaide Street Circuit,3.780Â km (2.349Â mi),16,https://upload.wikimedia.org/wikipedia/commons/4/49/Adelaide_%28long_route%29.svg,
30,kyalami,Kyalami,Midrand,South Africa,-25.9894,28.0767,1460,http://en.wikipedia.org/wiki/Kyalami,Kyalami Grand Prix Circuit,4.261Â km (2.648Â mi),13,https://upload.wikimedia.org/wikipedia/commons/0/0e/Kyalami_1992_Layout.png,
31,donington,Donington Park,Castle Donington,UK,52.8306,-1.37528,88,http://en.wikipedia.org/wiki/Donington_Park,Donington Park,4.020Â km (2.498Â mi),11,https://upload.wikimedia.org/wikipedia/commons/9/9b/Donington_as_of_2006.svg,
